Title,URL,Address,Compensation,Employment Type,Description
Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/7049134553.html,"Jamaica, Queens",Commensurate with Experience,full-time,"
        
Mssa, a Small Successful 8-Person Architectural studio based in Queens is seeking Project Architect(s). Our projects include single-family residential, multifamily, and mixed-use hospitality projects. The studio offers an opportunity to be involved in all phases of the urban built environment from Design Development, Construction Documents, Consultant Coordination and City Approvals to Project Close up. The candidate shall be willing to work on a whole range of projects from small extensions to multifamily and hospitality.

Requirements
• BS or 5-year Professional degree in Architecture
• Minimum 3 years US experience in an architecture office
• Proven ability to produce Construction Documents
• Working knowledge of NYC code and zoning regulations
• Familiarity with DOB procedures a plus
• Site visits and requisition review
• Check submittals and respond to requests for information
• Fluent with Autocad Architecture 2017/18
• Revit 2017 Experience a plus
• Strong work ethic 
• Fluent English 

Please submit your resume including work samples with a particular emphasis on construction documents.
    "
Facade / Building Envelope Project Manager,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7049329298.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled structural engineer or architect with 5 to 6 years of building envelope restoration experience if licensed, and 7 to 10 years' experience if not licensed, to join us as a Project Manager  in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Facade / Building Envelope Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/7049330903.html,TriBeCa,Commensurate with experience,full-time,"
        
 

 New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled architect with 2-5 years’ relevant experience to join us in executing a growing slate of challenging projects.  
 
We’re proud to be an industry leader in crucial practice areas like facade inspections and repairs (Local Law 11), roof repairs, and investigation and remediation of structural issues. We've won numerous awards—including ten Lucy Moses preservation awards—as well as the loyalty of many of the premier public, corporate, and residential clients in the region.  

Absolutely. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer applications that integrate construction drawings, specifications, cost estimating, scheduling, and construction administration; advanced photography and image processing; and state-of-the-art, non-destructive diagnostic equipment and techniques. In fact, we have an in-house studio dedicated to such supporting technology, constantly developing new digital tools (think James Bond’s “Q”).    .

 
Honestly, we offer aspects of both. You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This gives you the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm.  

You’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

An array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks.  
 
We embrace all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls.  


We offer an array of benefits and growth opportunities:





Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away.



Send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or a link to your portfolio that demonstrates your experience and capabilities. We look forward to meeting you! 

Please note that, due to the high number of applicants, we can only contact candidates under consideration.   

For additional information on our firm’s services, approach, and projects, visit 
    "
Job- Casting: Are you in love with an international student,https://newyork.craigslist.org/mnh/egr/d/new-york-job-casting-are-you-in-love/7049335229.html,Midtown,Will be paid if chosen for the series,contract,"
        
Are you in a relationship with an international student? Are you in a serious relationship with an international student attending a school in the United States? Glass Entertainment Group is teaming up with a major cable network to follow couples where one person in the relationship is a U.S. citizen and the other is in the country on a student visa that is expiring in Spring/Summer 2020. 

If you think you and your partner are a good fit, please reply with a small description of your relationship as well as your contact info and photo.

We look forward to hearing from you.    "
Drafter/Estimator Experienced in steel fabrication,https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/7049531546.html,college point queens,25,full-time,"
        
We are seeking an in house person experienced in steel fabrication to detail our incoming jobs and do takeoffs for bidding on projects as well.Must be somewhat experienced. Please reply in detail for interview,thanks.    "
Architectural Designer | Traditional Residential Design,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-designer/7043309634.html,Midtown Manhattan/New York City,Approximately $40 per hour,contract,"
        
Title:
Intermediate Architect | Traditional Residential Design

Client:
Prominent NYC Ttri-State area residential architecture firm with a strong focus upon design.

Position Description:
Play a comprehensive role in the office working under senior leadership to develop projects from design through completion. 
This role offers a unique experience to add to your professional development and preparing to become a licensed architect. Implement your design and technical skill while coordinating detailed design development and construction drawing sets. Client coordination and New York building code coordination is a must. 
 
Required Qualifications:
Strong knowledge of AutoCAD with supporting work samples.
Professional degree in architecture from an accredited university.
Ability to multi-task and work within a team.
Knowledge of and experience with the classical vocabulary of residential architecture preferred
3D rendering skills using SketchUp or Rhino.

Compensation:
Highly competitive hourly rate of pay.
    "
Architectural draftsmen,https://newyork.craigslist.org/que/egr/d/long-island-city-architectural-draftsmen/7043449449.html,LONG ISLAND CITY,Negotiable at interview,full-time,"
        
We are looking for an intern level or recent graduate staff member who is supporting the project manager or the principal with architectural design, expediting and general assistance in his role.
Responsibilities:
• Personal Assistant to the project manager for construction documents.
• Support in expediting the New york city Building department.
• General assistance for design tasks and documentation for Projects

Requirements:
• Degree in Architecture (Bachelor)
• 0-3 years of project experience in all phases of design
• Experience in 2D/3D software, including AutoCAD. Proficiency in 3d studio max preferred. Microsoft Office (Word, Excel) is a must.
• Strong graphic and visualization skills to communicate design presentations

Our practice is quite varied, with both new construction and renovation/interiors, including multi-family residential, and high-end residential. We are an entrepreneurial, innovative firm that places a strong emphasis on initiative and client service. We do a substantial number of projects outside New York City, including current jobs in Connecticut, Long Island, NY.    "
LAYOUT TECHNICIAN - AUTOCAD - WILL TRAIN!,https://newyork.craigslist.org/wch/egr/d/highland-layout-technician-autocad-will/7043552326.html,"Highland, NY",Salary and benefits,full-time,"
        
Layout Technician:

SRI Fire Sprinkler, LLC is an award winning, family owned and operated business with offices in Highland, NY Buffalo, NY Syracuse, NY, Albany, NY and Waterbury, CT. We provide a friendly, family-oriented atmosphere and a competitive salary benefit package – including profit sharing, health, dental and 401 (k).

We are currently seeking a Layout Technician for our Highland, NY office. Upon hiring, there will be a nine month training program.

Position Overview: Interpret contract drawings and specifications and provide AutoCAD layout of code compliant systems while coordinating with other trades.

Job Duties:
•	Obtain a complete understanding of contract documents and scope
•	Create material submittals
•	AutoCAD layout of code compliant systems for submittal
•	Attend project/coordination meetings and implement into design
•	Produce fabrication and loose material lists
•	Perform subcontractor and equipment buyout
•	Supervise project foreman
•	Forward requisition breakdowns to billing department
•	Manage contract changes or discrepancies
•	Communicate with GC, CM, Owner, Insurance underwriter and AHJ to achieve system acceptance
•	Modify field drawings to reflect as-built conditions for project closeout
Requirements:
•	Basic AutoCAD
•	NICET Certification a plus
•	Hydracad experience a plus
•	Microsoft Office
•	Professional team player with effective communication skills

NOTE: This job description is not intended to be all-inclusive. Employee may perform other related duties as assigned to meet the ongoing needs of the department.

AA/EOE
    "
Trainee Project Manager at High-End Glass Wall Company,https://newyork.craigslist.org/mnh/egr/d/new-york-trainee-project-manager-at/7043651775.html,Midtown,$3750/month,full-time,"
        
Hi! Thanks for your interest, please check out the details below, and if it seems like the right position for you, feel free to reach out with any questions:

JOB DESCRIPTION
Wing Partners is looking for an energetic person to join our training program to become a Project Manager. No project management experience is necessary to join as a trainee. You'll learn everything from experienced project managers who manage multi-million dollar projects, building workplaces for fortune 500 companies. We specialize in glass wall systems for office interiors. (Check out our website for photos www.wingpartners.com). Please note that this is not a design role, and you should have some architecture, engineering or construction training.

You will be consulting with designers on the customization capabilities of our wall systems and coordinating the build-out of our clients' designs. You will interact with architects, especially during the drafting of shop drawings and submitting finish samples for approval. You'll assist our Project Managers in the office and in the field on active jobsites with reviewing bid requests, drafting and submitting shop drawings, and following the entire project timeline from bidding to completion.

RESPONSIBILITIES
* Review construction documents, put together bid packages
* Develop shop drawings in AutoCAD (or Revit if you know it)
* Field verification measurements
* Attend construction coordination meetings
* Assist with scheduling of deliveries and supervision of installers

REQUIREMENTS
* Proficiency in AutoCAD, Excel and Word. 
* Experience with Revit is a plus, but not required.
* Be able to read and understand construction documents
* Must be able to communicate with clients as well as general contractors and field labor.
* Self-driven, detail oriented, well organized.
* Located in the NYC metro area

COMPENSATION AND TIME
40 hours per week, with a salary paid bi-weekly. Typical hours are 9am-6pm, with occasional meetings starting at 8am. Training program lasts 90-180 days depending on performance. Health benefits are available after a waiting period of 60 days. With excellent performance you'll graduate from Trainee to full Project Manager, which includes a pay raise.

ABOUT US
Wing Partners is a full-service distributor of modern, high-end customized glass wall systems. We work closely with architects and interior designers to help them achieve their visions for the workplaces of clients such as IBM, Under Armour, AMC, Heineken, Coach, NBA, Nike, and many more. At Wing Partners, we're a small tight-knit group who works hard and likes to have fun. We're based in Chelsea, New York City.

CONTACT
Check out our website at WingPartners.com. To apply, please email Michael with your resume/cv, cover letter and 'your name - Wing Partners' in the subject. Thanks!    "
Structural Engineer:,https://newyork.craigslist.org/que/egr/d/east-elmhurst-structural-engineer/7043682037.html,East Elmhurst,We offer competitive salary and comprehensive benefit based on education and experience.,full-time,"
        
A reputed engineering consulting firm has immediate opening for the following position:

Structural Engineer:

Responsibilities 
•	Perform analysis and design calculation of structural systems for all types of buildings and materials using various building codes. 
•	Manage project design and deliverables as well as other design team members.
•	Develops, modifies and reviews models, plans, details and drawings of structural engineering systems and components according to established standards.  
•	Utilizes knowledge and experience in applying modeling principles for complete and accurate drawings.
•	Performs work in accordance with agreed upon budget and schedule with little supervision.
•	Communicate with clients to understand project requirements. 
•	Plan and formulate engineering program and organize project staff according to project requirements. 

 Requirements:
 
•	NY State PE License. 
•	Bachelor's degree in Structural Engineering.
•	1-3 years of professional experience working directly with clients, contractors, consultants and vendors.
•	Knowledge and expertise in structural analysis and design of steel and reinforced concrete structures.  
•	Proficiency in AutoCAD and Microsoft Office. 
•	Well-versed in New York Building Code with experience and/or knowledge of high-rise commercial, residential, and institutional buildings.

We offer competitive salary and comprehensive benefit based on education and experience. Please forward your resume akconsultingpc@gmail.com for consideration or call at 347-925-4030.
    "
Construction Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/7043837300.html,Brooklyn,TBD,full-time,"
        
Prepare complete and detailed scopes of work for construction trades.

Perform quantity take-offs with accuracy and completeness.
Solicit budgets and bids from subcontractors and suppliers in a timely fashion
Resolves cost discrepancies by collecting and analyzing information.
Prepares special reports by collecting, analyzing, and summarizing information and trends.
Monitor project costs and schedule
Monitor site supers and attend meetings

At least 4 years industry experience minimum

Please email resume with expected salary

Also looking for Estimators and Assistant Project managers/site supers    "
Career Opportunities in Engineering for Immigrant Professionals,https://newyork.craigslist.org/mnh/egr/d/new-york-career-opportunities-in/7043969868.html,New York,Free Training with Job Placement Assistance,full-time,"
        
The Cooper Union Retraining Program for Immigrant Engineers at CAMBA assists highly skilled immigrant professionals who are underemployed or unemployed gain access to higher paying jobs through training and job placement assistance. The program includes courses in information technology and mechanical, electrical and civil engineering. Courses are scheduled around the needs of working professionals and offered evenings and weekends. 
Since its inception in 1987, the Retraining Program helped connect more than 5,000 immigrant professionals to science, technology and engineering jobs. 
ALL SERVICES ARE FREE
Classes include:
OSHA 30
Green Building Guidelines & Environmental Safety
Building Operation, Maintenance & Safety Regulation
Heating, Ventilation, Air-Condition and Safety Regulation (HVAC)
National Electrical Code (NEC) and Its Applications
AISC Structural Steel Design
ACI Structural Concrete Design
Introduction to AutoCAD for Engineers
Advanced AutoCAD and Revit
Building Cost Estimating and Bridge, Highway, Railroad Engineering

To be considered for the program applicants must:

•Be born outside of the United States
•Be authorized to work in the United States
•Have a bachelor's degree or higher and professional experience in the field of engineering, information technology, or a related field from the country of origin (not in US)
•Have lived in the U.S. less than five full years. (Exceptions for those in the U.S. more than five years may be made on a case-by-case basis)
•Be unemployed, underemployed, or working in a field not related to your education
•Have intermediate+ English fluency
•Demonstrate a financial need
•Be highly motivated to pursue professional job search

Please, visit our web site: www.cooper.edu/immigrant-retraining for application instructions and for more information call 718-226-0437.
    "
CONSTRUCTION SUPERINTENDENT up to 110k year/DOB LICENSE REQUIRED,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-superintendent-up/7044059593.html,,payment per building/ up to 10 buildings,contract,"
        
We are looking for a Construction Superintendent with DOB License and 62Hours Site Safety Training (SST).

Job Description:
• Visit up to 10 job sites to ensure safety per DOB and OSHA standards.
• Maintain daily paperwork such as logbooks, field safety checklists.
• Review and analyze detailed construction drawings.
• Communicate with competent persons, clients, GCs regarding safety requirements.
• When necessary communicate with DOB inspectors regarding safety issues.

Qualifications/Requirements:
• Minimum 5 years’ experience in general construction
• DOB Construction Superintendent license
• DOB 62Hours Site Safety Training (SST) Card
• Proficiency in reading plans, blueprints, specifications
• Knowledge of DOB building codes and NYC Construction Codes
• Ability to professionally deal with NYC DOB Inspectors
• Strong communication skills and computer literacy
• Excellent problem-solving skills  
• Sound judgment and ethical conduct

Additional requirements:
Driver's License (Required)
Personal vehicle (Required)
    "
HVAC Engeenier,https://newyork.craigslist.org/mnh/egr/d/new-york-hvac-engeenier/7044121856.html,Upper West Side,Contract,part-time,"
        
We need engineer to draw the plans and add all the required details as per NYC codes so we can get the plans approved by the management and board, and than file woth DOB
 its apartment on the first floor and we need to run the duct work and install units and required.
Pls respond with your experience and if did any work in Manhattan!

Thank you    "
Architectural Drafter,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-drafter/7044497882.html,East Harlem,Depends on experience. (starts at $22 hour),contract,"
        
At AJC Design, Creativity is Everything! We are a hospitality and residential interior design firm based in New York City with an ever-growing list of hospitality and residential clients nationally. We are seeking a talented interior/architectural drafter with strong AutoCAD skills to work closely with our design team through all phases of our design process such as concept, schematic, design development, and construction management, including the creation of construction documents and review of submittals and RFI, aligned with the AJC Design brand.

Primary responsibilities include: 
•	Generate shop drawings, floor plans, elevation details, and schedules
           using automated software such as AutoCAD and Revit; make revisions as needed
•	Assemble and develop construction document sets
•	Conduct research into supplier and materials to ensure projects are on-budget
•	Perform a detailed redline review of all blueprints, design and construction estimates, and project information sheets 
•	Review RFI and submittals during the construction administrative process

Is This You? 
•	You have an Interior Design, Architecture or related degree
•	You have 5+ years of experience as an architectural/interior designer or drafter
•	You have 1+ years of experience working in the hospitality industry
•	You have strong design skills, knowledge of local building codes and technical aptitude (i.e., highly proficient with MS Office, AutoCAD and Revit, other 3D modeling tools)
•	You know how to produce, track and revise shop drawings, drawing submittals & RFI as they occur
•	You have the ability to manage projects from start to finish with minimal supervision
•	You have excellent communication skills, are comfortable presenting to clients and are open to feedback
•	You have the ability to handle a fast-paced environment and are self-motivated to meet deadlines
    "
JUNIOR/INTERMEDIATE PROJECT ARCHITECT : 2-5 yrs Exp,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-intermediate/7044505286.html,Chelsea,Salary plus healthcare benefits,full-time,"
        
We are currently seeking a Jr./Intermediate Project Architect with 2-5 years experience to join our team.

For 28 years, Joseph Vance Architects has been designing high end, custom residential projects - brownstone/townhouse gut renovations, ground up townhouses, lofts and rooftop additions. We are a small group of creative problem solvers with a taste for well-crafted design. We value hard work to continuously grow and evolve, pushing boundaries until a project is the best it can be.

Current projects include a ground up new 6 story townhouse in the Upper West Side (with a new basketball court beneath), a gut renovation of a townhouse in Chelsea including a totally new facade, a 6,000sf triplex in a new West Village development, and others.

As a member of our team, you will work with senior staff and the Principal to execute residential projects. You will gain experience in generating designs, presentations and drawings, researching codes, managing schedules, and coordinating with clients, contractors, expeditors, city agencies, vendors, consultants, etc. throughout the entire process of the project from initial client meetings to punch-list closeout. The nature of our business requires immense organization, efficiency, and commitment, but we also maintain a very stable work/life balance.

Ideally you have experience in residential architecture in NYC, some knowledge of NYC DOB and LPC, have worked with 3D modeling/BIM software and the adobe creative suite. We also expect you to have a great design sensibility and critical thinking skills, along with 2-5 years of professional experience.

If this sounds like you, then please submit a pdf of your cover letter, resume, and work sample. This is a full time salaried position with medical coverage (no part-time or freelance work). We look forward to hearing from you and appreciate your interest in our firm!

This is a full time salaried position with benefits (no part-time or freelance positions). Qualified candidates are currently living in the tri-state area and should submit a resume, work samples and salary requirements via .pdf.    "
Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/7044509102.html,Chelsea,commensurate with experience,full-time,"
        
We are currently seeking an Intermediate Project Architect with 5-8 years experience to join our team.

For 28 years, Joseph Vance Architects has been designing high end, custom residential projects - brownstone/townhouse gut renovations, ground up townhouses, lofts and rooftop additions. We are a small group of creative problem solvers with a taste for well-crafted design. We value hard work to continuously grow and evolve, pushing boundaries until a project is the best it can be.

Current projects include a ground up new 6 story townhouse in the Upper West Side (with a new basketball court beneath), a gut renovation of a townhouse in Chelsea including a totally new facade, a 6,000sf triplex in a new West Village development, and others.

As a member of our team, you will work with directly with the Principal to manage and execute residential projects. You will be responsible for generating designs, presentations and drawings, researching codes, managing schedules, and coordinating with clients, contractors, expeditors, city agencies, vendors, consultants, etc. throughout the entire process of the project from initial client meetings to punch-list closeout. The nature of our business requires immense organization, efficiency, and commitment, but we also maintain a very stable work/life balance.

Ideally you have experience in residential architecture in NYC, good knowledge of the NYC Building Code and Zoning Resolution, have high skills with 3D modeling and/or BIM software, with 6-8 years of professional experience.

If this sounds like you, then please submit a pdf of your cover letter, resume, and work sample. This is a full time salaried position with medical coverage (no part-time or freelance work). We look forward to hearing from you and appreciate your interest in our firm!

This is a full time salaried position with benefits (no part-time or freelance positions). Qualified candidates are currently living in the tri-state area and should submit a resume, work samples and salary requirements via .pdf.    "
NYC DOB_ Architect _ Architectural Services- filing set_ Freelancer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dob-architect/7044670709.html,Midtown,TBD,full-time,"
        
Architectural Services- filing set_ Architect_ Freelancer\Independent Contractor

We are seeking an Architectural Associate/CAD drafter to create NYC DOB filing sets for commercial renovations, specifically Restaurant projects primarily in Manhattan.

RESPONSIBILITIES:
• Survey existing and as-built conditions on sites located throughout the NYC area
• Create Architectural Drawings and Construction Documents (Alteration Type 1 and Type 2)
• Zoning Analysis and Diagrams
• Drawing existing and proposed sections and elevations
• Update drawing sets based on NYC Plan Examiner Objections
• Prepare DOB filing set packages and coordinate with Expediter to file with Department of Buildings.

Position is an independent contractor/ freelancer    "
DOB Filing Representative- Freelance,https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-representative/7044671153.html,Midtown,TBD,contract,"
        
Job Description
Filing Representative needed to file DOB Architectural filing set and certificate of correction in Manhattan NY.

Must have Class 1 or 2 Filing Representative License.

RESPONSIBILITIES:

DOB (Department of Buildings)

1. Pre-filing and E-filing for job filings (ALT 1, 2, 3, Demo, PA)
2. DOB Now Build
3. DOB Now Safety
4. DOB Now Inspections:
Schedule Construction, Plumbing, Electrical inspections
Delegate pertinent parties
Download Pass - Final Reports and submit for sign-off
Upload corrections for certifiable objections
5. DOB Permits PW 1, PW 2, PW 3, PW4, After hour variances
6. Site Safety Plans
7. Records Room research: microfilm, block and lot, folder
8. Post Approval Amendments
9. Violations (AEU2, AEU20, Dismissals, Waivers)
10. Stop Work Orders, Partial Stop Work Orders
11. Obtain New DOB Tracking Number for Contractors and insurance updates
12. Required Items submission
13. Letter of Completions
14. Temporary and Final Certificates of Occupancy
15. Schedule and attend Plan Examiner appointments to obtain approvals
16. Attend Chief Plan's examiners meetings with Architects, Engineers, Developers, Property Managers
17. Attend meetings with Deputy Borough Commissioners
DOT (Department of Transportation)

1. DOT Permits: Sidewalk, Fire Hydrant, Curb Cut
ECB (Environmental Control Board)
1. Attend ECB hearings
2. Process penalty payments

TOPO (Topographical Bureau)

1. Street Address Verification
DOF (Department of Finance)

1. Tax Maps

FDNY (Fire Department of the city of New York)

1. Submit applications
2. Obtain Building Profiles, Notices of Violation and Violation Orders
3. Attend appointments



    "
Construction Estimator,https://newyork.craigslist.org/fct/egr/d/stamford-construction-estimator/7044842098.html,Stamford,Pay depending on experience.,full-time,"
        
Excavating, Concrete, Masonry and Paving company seeks highly skilled person to perform take offs and prepare estimates. Must have 10 years experience in the Civil field. Knowledge of numbers and prices a must. 

Duties include making calls for future work, perform takeoffs and estimates, attend job meetings, and assist in managing projects.

Salary depending on experience. Performance based bonuses and profit sharing available.

This is not an entry position. I am looking for a highly qualified estimator to help me grow the company.

Please send resume and salary requirements

Work from home is a possibility

Part time is also available    "
Residential Project Architect | 3 Months-Temporary,https://newyork.craigslist.org/brk/egr/d/brooklyn-residential-project-architect/7045053081.html,"Brooklyn, New York",$45 per hour,full-time,"
        
Residential and Mixed Used Architecture Projects.

Brooklyn office.

Consult for 3 months in the office collaborating with the team.

Develop schematic design, design development and construction document packages.

Required skills:

AutoCAD

Rhino

SketchUp

Required Education:
Professional Architecture or Design Degree.

$45 per hour.    "
Junior Level Architect | Unique Temporary Opportunity,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-level-architect/7045055619.html,Midtown,"$35 per hour, or depending upon level of professional experience",contract,"
        
AMAZING TEMPORARY OPPORTUNITY FOR A JUNIOR LEVEL ARCHITECTURAL DESIGNER! 2-3 MONTHS. (Monday-Friday in office, regular business hours)

Title:
Junior Architect | Commercial & Retail Architecture Projects

A successful, well known midtown Manhattan design firm needs additional help in the office for between 2 and 3 months to work as a team member on site surveys and working drawings using AutoCAD for a variety of commercial and retail architecture projects.

If you have a professional degree in architecture from an accredited university, work experience and supporting work samples using AutoCAD for design development and construction documents, please submit your detailed resume plus PDF work samples in complete confidence for immediate review.

Work begins immediately with a competitive hourly rate.

Please submit PDF attachments only. Thank you!    "
Field Personnel (Entry Level),https://newyork.craigslist.org/stn/egr/d/staten-island-field-personnel-entry/7045312754.html,"Staten Island, New York",$15/hr min....varies on experience and position,full-time,"
        
Civil Engineering Land Surveying Firm
Full time ENTRY level position in field with Staten Island Firm. Great for interns.
Excellent career opportunity for individuals with 2-4 degrees in Civil Engineering or Land Surveying.
State Salary requirements    "
PT FT Architects Intern Drafter experienced or student,https://newyork.craigslist.org/brk/egr/d/brooklyn-pt-ft-architects-intern/7045359808.html,Brooklyn,by experience and base on 1st week of performance,employee's choice,"
        
Office looking for Architects, Intern, Drafter, multiple positions, experienced full time, student part time. Must be good with AutoCAD. Please email with resume and portfolio if available. Able to speak mandarin a plus.    "
LAND SURVEY TECHNICIAN/PARTY CHIEF,https://newyork.craigslist.org/que/egr/d/jamaica-land-survey-technician-party/7046542982.html,NEW YORK,negotiable,full-time,"
        
Seeking experienced individuals to work  as a Survey Technician/ Party Chief. Experience required is
Able to sketch detailed and accurate field notes.
Work independently with a robotic total station and GPS
Draft with AUTOCAD    "
CIVIL ENGINEERS & Surveyors - All Levels,https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/7046626141.html,Midtown,"Dependent on experience level; Full time with benefits, healthcare, 401k",full-time,"
        
  
     
  

We have positions for: Civil CAD Designer, Civil Project Engineer, Licensed Civil Engineer, Civil Project Manager, Structural Engineer and Land Surveyor   

Positions open for types of project disciplines: Land Development / Site Development, Transportation Engineering, Water Resources, Structural Engineering and Land Surveying   

For CONFIDENTIAL CONSIDERATION: 
Email your resume to: jobs@trabucogroup.com 
 
For full list of Engineering positions, visit us at: 



 KEYWORDS: civil engineering, site development, land development, grading, drainage, storwmwater, SWPPP, paving, striping, traffic control, transportation, signal, signage, railway, highway design, roadway, water, wastewater, hydrology, hydraulics, earthwork, utility design, water resources, wastewater, Autocad, Civil 3D,  REVIT, StaadPro, Microstation, inroads, ArcGIS, surveying, topos, geotechnical, geotech, GIS, structural, ASCE, EIT, PE, TE, survey, surveying, topos, boundaries, ALTA maps, legal description and plats, Appraisal Maps, Records of Survey, topography, photogrammetry, boundary surveys, construction staking, topcon, leica, carlson subdivision mapping, total station, PLS, RPLS, LSIT, SIT
    "
Plumbing / Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/d/long-island-city-plumbing-fire/7046730306.html,,70k-105k,full-time,"
        
Senior Plumbing / Fire Protection  Designer -- NYC  / Queens area 

Ideal candidate will have 2-10 years experience designing plumbing systems in facilities including multi-family, hi-rise, healthcare, institutional and high tech industrial.  

Prefer candidates with hi-rise / multi-family project experience.

Must be proficient with AutoCAD 

Revit experience is a plus. 

Salary and benefits are commensurate with experience 

Employee Medical fully covered by employer
PTO
Paid Holidays and more... 

No 3rd party agencies please.
    "
Electrical Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-engineer/7046731028.html,Midtown,75k-105k,full-time,"
        
Title: Electrical Engineer

Duties & Responsibilities:

-Design Electrical Systems  From Inception to Complete Construction Documents 
-Prepare Specifications 
-Survey of Existing Building Conditions 
-Assist in the Preparation of Reports 
-Complete all Phases of Design from Schematic through Construction Administration
-Preparation of Drawing and Specifications 
-Knowledge of NYC Filing Requirements and Procedures 
-Knowledge of Utility Companies Filing Requirements and Procedures 
-Coordination Between Architectural and Engineering Disciplines 
-Must have a working knowledge of AutoCAD with prior experience designing in an MEP Environment. 
-Strong Computer Skills and knowledge of REVIT Models a Plus


Desired Skills & Experience:
3+ Years experience

Additional Information:

Type: Full-timeFunctions: EngineeringExperience: Junior LevelIndustries: Architecture & Planning, Construction, Design

Salary Commensurate with experience
Full benefits 
PTO
Paid Holidays 
401k and more.    "
Project Manager,https://newyork.craigslist.org/que/egr/d/project-manager/7046867741.html,queens,Based on experience,full-time,"
        
Project manager needed for drywall company based in queens.
Must have experience as a project manager on drywall jobs
Must be reliable, motivated and excellent organizational skills.
Proficient in  take off, reading plans, prepare proposals, quick books, Microsoft word and excel.
Must have the ability to manage new and existing drywall construction.
Please send salary requirements with resume.
The ideal candidate must be well versed in the drywall industry
    "
